Sample Name,Sample,Run,Unnamed: 2,treatment (lna),treatment (eps),A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
GSM5617742,SRR16242465,SRR16242465,1.0,Negative control,EPS 3h,0.0284276935,0.511278464,0.040473142000000004,0.0552613205,0.0454515335,0.2052998475
GSM5617743,SRR16242467,SRR16242467,1.0,Tug1,EPS 3h,0.0303420785,0.5408075830000001,0.031980939,0.0546382005,0.0358001865,0.1485364115
GSM5617744,SRR16242469,SRR16242469,1.0,Negative control,Rest,0.0298937255,0.3605855805,0.0375628725,0.035863133500000005,0.0338182175,0.1913774065
GSM5617745,SRR16242471,SRR16242471,1.0,Tug1,Rest,0.0311838155,0.266256001,0.026980799,0.044479777,0.0297691555,0.174910717
GSM5617746,SRR16242473,SRR16242473,1.0,Negative control,EPS 0h,0.0302971355,0.5066579,0.0411825405,0.0507738195,0.032816495,0.194613756
GSM5617747,SRR16242475,SRR16242475,1.0,Tug1,EPS 0h,0.032094384000000004,0.5670084965,0.0351284245,0.048446634,0.0276080005,0.1803360685
GSM5617748,SRR16242477,SRR16242477,1.0,Negative control,EPS 3h,0.026315660499999997,0.630306499,0.044644787500000005,0.054505875499999995,0.02616728,0.182993981
GSM5617749,SRR16242479,SRR16242479,1.0,Tug1,EPS 3h,0.030798644,0.6371971830000001,0.034806316500000004,0.050364316,0.03170457,0.171580237
GSM5617750,SRR16242481,SRR16242481,1.0,Negative control,Rest,0.030795264,0.34032790599999996,0.0321184135,0.041457325,0.032084458999999996,0.205873951
GSM5617751,SRR16242483,SRR16242483,1.0,Tug1,Rest,0.0291079095,0.3385710555,0.0317496405,0.044283737000000004,0.0243349985,0.1840998315
GSM5617752,SRR16242485,SRR16242485,1.0,Negative control,EPS 0h,0.035282015,0.5782114335,0.0368453755,0.044213031,0.0310064975,0.186849077
GSM5617753,SRR16242487,SRR16242487,1.0,Tug1,EPS 0h,0.026449488,0.5565342895000001,0.038240670500000004,0.039680273,0.0368130595,0.1840190835
GSM5617754,SRR16242489,SRR16242489,1.0,Negative control,EPS 3h,0.024898495,0.6313491445,0.0429846785,0.040812047500000004,0.0320138735,0.1875563855
GSM5617755,SRR16242491,SRR16242491,1.0,Tug1,EPS 3h,0.0293153315,0.6611286245000001,0.047297993999999996,0.044025218500000005,0.0347459705,0.1631014385
GSM5617756,SRR16242493,SRR16242493,1.0,Negative control,Rest,0.0272568875,0.38413316799999997,0.032402388000000004,0.0447945005,0.0345095725,0.20100536149999998
GSM5617757,SRR16242495,SRR16242495,1.0,Tug1,Rest,0.0315644185,0.26489667549999996,0.0299070025,0.0454837465,0.0351616825,0.181723049
GSM5617758,SRR16242497,SRR16242497,1.0,Negative control,EPS 0h,0.030238422,0.47579225599999997,0.032364317000000004,0.0515447445,0.0341852765,0.193536763
GSM5617759,SRR16242499,SRR16242499,1.0,Tug1,EPS 0h,0.02925493,0.4865250995,0.036666499000000005,0.038163592499999996,0.031471395,0.1695375825
GSM5617760,SRR16242501,SRR16242501,1.0,Negative control,EPS 3h,0.027555141999999998,0.5380115114999999,0.034133672,0.0450075845,0.033328556499999995,0.18795549350000001
GSM5617761,SRR16242503,SRR16242503,1.0,Tug1,EPS 3h,0.0289063975,0.5635663535,0.035392364499999995,0.0439574115,0.0326158305,0.18519455299999998
